Pot,Treatment,Week,Sub_sample,Tube_weight,Tube_soil_weight,Soil_ww,Soil_dw,DF,Count1,Count2,Count3,CFU_mL,CFU_gdw,log_CFU_gdw
11,InocManure_SA,0,2,1,1.46,0.46,0.184,-4,80,80,66,75333333.33,409420289.9,9
12,InocManure_SA,0,1,1,1.74,0.74,0.296,-5,17,68,48,443333333.3,1497747748,9
12,InocManure_SA,0,2,1.03,1.65,0.62,0.248,-5,38,32,42,373333333.3,1505376344,9
13,InocManure_Incorp,0,1,1,1.55,0.55,0.22,-3,15,6,6,900000,4090909.091,7
13,InocManure_Incorp,0,2,0.99,1.56,0.57,0.228,-3,4,5,4,433333.3333,1900584.795,6
14,InocManure_Incorp,0,1,0.92,1.46,0.54,0.216,-4,10,12,28,16666666.67,77160493.83,8
14,InocManure_Incorp,0,2,0.97,1.66,0.69,0.276,-4,13,15,22,16666666.67,60386473.43,8
15,Control,0,1,0.98,1.62,0.64,0.256,0,0,0,0,0,0,NA
15,Control,0,2,0.97,1.58,0.61,0.244,0,0,0,0,0,0,NA
16,Control,0,1,0.97,1.57,0.6,0.24,0,0,0,0,0,0,NA
16,Control,0,2,0.99,1.63,0.64,0.256,0,0,0,0,0,0,NA
17,Manure_SA,0,1,0.97,1.76,0.79,0.316,0,29,48,41,4916.666667,15559.07173,4
17,Manure_SA,0,2,0.97,1.67,0.7,0.28,-1,15,13,8,15000,53571.42857,5
18,Manure_SA,0,1,0.96,1.77,0.81,0.324,-1,8,10,10,11666.66667,36008.23045,5
18,Manure_SA,0,2,0.97,1.74,0.77,0.308,-1,37,18,24,32916.66667,106872.2944,5
19,Manure_incorp,0,1,0.97,1.51,0.54,0.216,0,3,5,7,625,2893.518519,3
19,Manure_incorp,0,2,0.97,1.54,0.57,0.228,0,7,4,2,541.6666667,2375.730994,3
20,Manure_incorp,0,1,0.97,1.43,0.46,0.184,0,15,18,24,2375,12907.6087,4
20,Manure_incorp,0,2,0.97,1.65,0.68,0.272,0,7,18,12,1541.666667,5667.892157,4
21,InocSoil_SA,0,1,0.96,1.49,0.53,0.212,-4,44,33,33,45833333.33,216194968.6,8
21,InocSoil_SA,0,2,0.96,1.53,0.57,0.228,-4,20,15,14,20416666.67,89546783.63,8
22,InocSoil_SA,0,1,0.96,1.52,0.56,0.224,-4,26,24,22,24000000,107142857.1,8
22,InocSoil_SA,0,2,0.97,1.68,0.71,0.284,-4,19,19,16,18000000,63380281.69,8
23,InocSoil_Incorp,0,1,0.98,1.61,0.63,0.252,-3,31,18,17,2200000,8730158.73,7
23,InocSoil_Incorp,0,2,0.97,1.55,0.58,0.232,-4,29,29,17,25000000,107758620.7,8
24,InocSoil_Incorp,0,1,0.97,1.64,0.67,0.268,-4,31,53,24,36000000,134328358.2,8
24,InocSoil_Incorp,0,2,0.96,1.77,0.81,0.324,-4,60,52,55,55666666.67,171810699.6,8
25,InocManure_SA,0,1,0.97,1.5,0.53,0.212,-5,32,20,13,216666666.7,1022012579,9
25,InocManure_SA,0,2,0.98,1.34,0.36,0.144,-4,51,51,38,46666666.67,324074074.1,9
26,InocManure_SA,0,1,0.97,1.39,0.42,0.168,-4,62,51,56,56333333.33,335317460.3,9
26,InocManure_SA,0,2,1.03,1.7,0.67,0.268,-4,84,96,92,90666666.67,338308457.7,9
27,InocManure_Incorp,0,1,0.97,1.57,0.6,0.24,-4,9,7,14,10000000,41666666.67,8
27,InocManure_Incorp,0,2,0.97,1.71,0.74,0.296,-5,0,10,17,90000000,304054054.1,8
28,InocManure_Incorp,0,1,0.96,1.6,0.64,0.256,-4,21,51,33,35000000,136718750,8
28,InocManure_Incorp,0,2,0.98,1.45,0.47,0.188,-4,33,32,32,32333333.33,171985815.6,8
1,Control,1,1,0.96,1.51,0.55,0.22,0,0,0,0,0,0,NA
1,Control,1,2,0.97,1.48,0.51,0.204,0,0,0,0,0,0,NA
2,Control,1,1,0.96,1.47,0.51,0.204,0,0,0,0,0,0,NA
2,Control,1,2,0.97,1.52,0.55,0.22,0,0,0,0,0,0,NA
3,Manure_SA,1,1,0.96,1.57,0.61,0.244,0,0,0,0,0,0,NA
3,Manure_SA,1,2,0.98,1.47,0.49,0.196,0,0,0,0,0,0,NA
4,Manure_SA,1,1,0.97,1.57,0.6,0.24,0,0,0,0,0,0,NA
4,Manure_SA,1,2,0.97,1.45,0.48,0.192,0,0,0,0,0,0,NA
5,Manure_incorp,1,1,0.99,1.5,0.51,0.204,0,3,0,0,142.8571429,700.280112,3
5,Manure_incorp,1,2,0.96,1.53,0.57,0.228,0,2,0,0,95.23809524,417.710944,3
6,Manure_incorp,1,1,1.01,1.54,0.53,0.212,0,1,1,0,95.23809524,449.2362983,3
6,Manure_incorp,1,2,0.97,1.65,0.68,0.272,0,3,1,3,333.3333333,1225.490196,3
7,InocSoil_SA,1,1,0.97,1.41,0.44,0.176,-3,6,6,3,500000,2840909.091,6
7,InocSoil_SA,1,2,0.97,1.48,0.51,0.204,-2,21,24,17,206666.6667,1013071.895,6
8,InocSoil_SA,1,1,0.97,1.5,0.53,0.212,-3,16,14,10,1333333.333,6289308.176,7
8,InocSoil_SA,1,2,0.97,1.5,0.53,0.212,-3,22,23,20,2166666.667,10220125.79,7
9,InocSoil_Incorp,1,1,0.97,1.53,0.56,0.224,-3,3,3,6,400000,1785714.286,6
9,InocSoil_Incorp,1,2,0.97,1.5,0.53,0.212,-3,7,7,3,566666.6667,2672955.975,6
10,InocSoil_Incorp,1,1,0.98,1.47,0.49,0.196,-2,9,15,10,113333.3333,578231.2925,6
10,InocSoil_Incorp,1,2,0.95,1.51,0.56,0.224,-3,7,6,5,600000,2678571.429,6
11,InocManure_SA,1,1,0.97,1.45,0.48,0.192,-4,13,7,7,9000000,46875000,8
11,InocManure_SA,1,2,0.97,1.5,0.53,0.212,-4,6,4,5,5000000,23584905.66,7
12,InocManure_SA,1,1,0.97,1.47,0.5,0.2,-4,3,2,5,3333333.333,16666666.67,7
12,InocManure_SA,1,2,0.98,1.48,0.5,0.2,-3,30,19,13,2066666.667,10333333.33,7
13,InocManure_Incorp,1,1,0.95,1.5,0.55,0.22,-2,6,3,7,53333.33333,242424.2424,5
13,InocManure_Incorp,1,2,0.96,1.54,0.58,0.232,-2,3,7,5,50000,215517.2414,5
14,InocManure_Incorp,1,1,0.95,1.56,0.61,0.244,-3,4,9,7,666666.6667,2732240.437,6
14,InocManure_Incorp,1,2,0.96,1.62,0.66,0.264,-3,9,7,6,733333.3333,2777777.778,6
15,Control,1,1,0.97,1.39,0.42,0.168,0,0,0,0,0,0,NA
15,Control,1,2,0.96,1.56,0.6,0.24,0,0,0,0,0,0,NA
16,Control,1,1,0.97,1.76,0.79,0.316,0,0,0,0,0,0,NA
16,Control,1,2,1.01,1.41,0.4,0.16,0,0,0,0,0,0,NA
17,Manure_SA,1,1,0.98,1.49,0.51,0.204,0,1,1,1,142.8571429,700.280112,3
17,Manure_SA,1,2,0.97,1.64,0.67,0.268,0,0,0,0,0,0,NA
18,Manure_SA,1,1,0.97,1.47,0.5,0.2,0,2,1,2,238.0952381,1190.47619,3
18,Manure_SA,1,2,0.97,1.49,0.52,0.208,0,2,2,1,238.0952381,1144.688645,3
19,Manure_incorp,1,1,0.95,1.55,0.6,0.24,0,4,4,2,476.1904762,1984.126984,3
19,Manure_incorp,1,2,0.97,1.57,0.6,0.24,0,4,1,0,238.0952381,992.0634921,3
20,Manure_incorp,1,1,0.99,1.48,0.49,0.196,0,0,0,2,95.23809524,485.9086492,3
20,Manure_incorp,1,2,0.97,1.5,0.53,0.212,0,4,0,8,571.4285714,2695.41779,3
21,InocSoil_SA,1,1,0.97,1.53,0.56,0.224,-3,9,9,5,766666.6667,3422619.048,7
21,InocSoil_SA,1,2,0.97,1.52,0.55,0.22,-3,7,6,1,466666.6667,2121212.121,6
22,InocSoil_SA,1,1,0.97,1.64,0.67,0.268,-2,8,4,7,63333.33333,236318.408,5
22,InocSoil_SA,1,2,0.96,1.47,0.51,0.204,-2,2,3,1,20000,98039.21569,5
23,InocSoil_Incorp,1,1,0.98,1.5,0.52,0.208,-2,27,26,31,280000,1346153.846,6
