Week,Pot,Date of Plating,Date of CR morphotype ID,Subsample,Sample ID,Isolate,CRScore
2,16,7/2/2015,,2,C16.2.2,2,NA
2,16,7/2/2015,,2,C16.2.2,3,NA
2,16,7/2/2015,,2,C16.2.2,4,NA
2,16,7/2/2015,,2,C16.2.2,5,NA
2,16,7/2/2015,,2,C16.2.2,6,NA
2,17,7/2/2015,,1,C17.2.1,1,3
2,17,7/2/2015,,1,C17.2.1,2,4
2,17,7/2/2015,,1,C17.2.1,3,4
2,17,7/2/2015,,1,C17.2.1,4,5
2,17,7/2/2015,,1,C17.2.1,5,4
2,17,7/2/2015,,1,C17.2.1,6,4
2,17,7/2/2015,,2,C17.2.2,1,NA
2,17,7/2/2015,,2,C17.2.2,2,NA
2,17,7/2/2015,,2,C17.2.2,3,NA
2,17,7/2/2015,,2,C17.2.2,4,NA
2,17,7/2/2015,,2,C17.2.2,5,NA
2,17,7/2/2015,,2,C17.2.2,6,NA
2,18,7/2/2015,,1,C18.2.1,1,3
2,18,7/2/2015,,1,C18.2.1,2,5
2,18,7/2/2015,,1,C18.2.1,3,4
2,18,7/2/2015,,1,C18.2.1,4,4
2,18,7/2/2015,,1,C18.2.1,5,5
2,18,7/2/2015,,1,C18.2.1,6,4
2,18,7/2/2015,,2,C18.2.2,1,4
2,18,7/2/2015,,2,C18.2.2,2,4
2,18,7/2/2015,,2,C18.2.2,3,4
2,18,7/2/2015,,2,C18.2.2,4,4
2,18,7/2/2015,,2,C18.2.2,5,4
2,18,7/2/2015,,2,C18.2.2,6,4
2,19,7/2/2015,,1,C19.2.1,1,4
2,19,7/2/2015,,1,C19.2.1,2,5
2,19,7/2/2015,,1,C19.2.1,3,4
2,19,7/2/2015,,1,C19.2.1,4,4
2,19,7/2/2015,,1,C19.2.1,5,4
